Posto;Id. Vaga;Qtd. Vagas Disponíveis;Qtd. Encaminhamentos Disponíveis;Ocupação;Nome Fantasia do Empregador;UF Local de Trabalho;Município Local de Trabalho;Bairro Local de Trabalho;Forma de Contratação;Salário;Frequência de Pagamento;Incentivos;Horário de Trabalho;Horário não Convencional?;Escolaridade;Tempo de Experiência;Aceita Deficientes;Tipo de Deficiência;Sexo;Idade (Inicial);Idade (Final)
Sine Pesqueira/Pe                                                                                                                                     ;6917770;10;7;Pedreiro                                                                                                                                              ;SETTA ENERGIA                                                                                                                                         ;Pernambuco                                                                                                                                            ;PE-Pesqueira                                                                                                                                          ;CENTRO                                                                                                                                                ;Temporária                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Pesqueira/Pe                                                                                                                                     ;6917783;5;21;Eletricista de Manutencao Eletroeletronica                                                                                                            ;SETTA ENERGIA                                                                                                                                         ;Pernambuco                                                                                                                                            ;PE-Pesqueira                                                                                                                                          ;CENTRO                                                                                                                                                ;Temporária                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Petrolina/Pe                                                                                                                                     ;6924489;15;41;Trabalhador da Pecuaria (Bovinos Corte)                                                                                                               ;AGROBRAS AGRICOLA TROPICAL DO BRASIL S/A                                                                                                              ;Pernambuco                                                                                                                                            ;PE-Petrolina                                                                                                                                          ;VILA MOCO                                                                                                                                             ;Permanente                                                                                                                                            ;"1.354,00";Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;0;Exclusivamente deficiente                                                                                                                             ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7003601;2;6;Vendedor Em Domicilio                                                                                                                                 ;DC NATUS                                                                                                                                              ;Pernambuco                                                                                                                                            ;PE-Jaboatão dos Guararapes                                                                                                                            ;MARCOS FREIRE                                                                                                                                         ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Pesqueira/Pe                                                                                                                                     ;7004046;1;6;Alimentador de Linha de Producao                                                                                                                      ;nutrane nutricao animal ltda                                                                                                                          ;Pernambuco                                                                                                                                            ;PE-Pesqueira                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;"1.400,00";Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;0;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Pesqueira/Pe                                                                                                                                     ;7004200;1;5;Tecnico Em Seguranca do Trabalho                                                                                                                      ;nutrane nutricao animal ltda                                                                                                                          ;Pernambuco                                                                                                                                            ;PE-Pesqueira                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7004203;5;1;Promotor de Vendas                                                                                                                                    ;ASA INDUSTRIA E COMERCIO                                                                                                                              ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Cesta Básica, Ticket Alimentação, Assistência Odontológica, Assistência Médica, Participação nos Lucros, Planos de Cargos e Salários, Seguro";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Exclusivamente deficiente                                                                                                                             ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7004251;8;24;Pedreiro                                                                                                                                              ;CONSTRUEVO CONSTRUTORA                                                                                                                                ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;Outros                                                                                                                                                ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Não Exigida                                                                                                                                           ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Bezerros/Pe                                                                                                                                      ;6996306;1;4;Auxiliar Em Saude Bucal                                                                                                                               ;CENTRO MEDICO ODONTOLOGICO SOBREIRA                                                                                                                   ;Pernambuco                                                                                                                                            ;PE-Bezerros                                                                                                                                           ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;"1.745,00";Mês                                                                                                                                                   ;"Ticket Alimentação, Outros                                                                                                                            ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Araripina/Pe                                                                                                                                     ;7001813;1;2;Recepcionista de Hotel                                                                                                                                ;HOTEL BOULEVARD                                                                                                                                       ;Pernambuco                                                                                                                                            ;PE-Araripina                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;0;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine  Nazare da Mata/Pe                                                                                                                               ;6997604;1;2;Auxiliar de Pessoal                                                                                                                                   ;FRANGO DOURADO                                                                                                                                        ;Pernambuco                                                                                                                                            ;PE-Tracunhaém                                                                                                                                         ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
