Posto;Id. Vaga;Qtd. Vagas Disponíveis;Qtd. Encaminhamentos Disponíveis;Ocupação;Nome Fantasia do Empregador;UF Local de Trabalho;Município Local de Trabalho;Bairro Local de Trabalho;Forma de Contratação;Salário;Frequência de Pagamento;Incentivos;Horário de Trabalho;Horário não Convencional?;Escolaridade;Tempo de Experiência;Aceita Deficientes;Tipo de Deficiência;Sexo;Idade (Inicial);Idade (Final);
Sine Petrolina/Pe                                                                                                                                     ;6924489                                                                                                                                               ;15                  ;39                  ;Trabalhador da Pecuaria (Bovinos Corte)                                                                                                               ;AGROBRAS AGRICOLA TROPICAL DO BRASIL S/A                                                                                                              ;Pernambuco                                                                                                                                            ;PE-Petrolina                                                                                                                                          ;VILA MOCO                                                                                                                                             ;Permanente                                                                                                                                            ;1.354,00            ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;0                   ;Exclusivamente deficiente                                                                                                                             ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine  Igarassu/Pe                                                                                                                                     ;7063546                                                                                                                                               ;1                   ;4                   ;Servente de Obras                                                                                                                                     ;audaz construções                                                                                                                                     ;Pernambuco                                                                                                                                            ;PE-Igarassu                                                                                                                                           ;VILA RURAL                                                                                                                                            ;Temporária                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;Cesta Básica                                                                                                                                          ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;6                   ;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Pesqueira/Pe                                                                                                                                     ;7063525                                                                                                                                               ;3                   ;8                   ;Motorista de Caminhao (Rotas Regionais e Inte                                                                                                         ;nutrane nutricao animal ltda                                                                                                                          ;Pernambuco                                                                                                                                            ;PE-Pesqueira                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;1.500,00            ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Petrolina/Pe                                                                                                                                     ;7064128                                                                                                                                               ;2                   ;6                   ;Pizzaiolo                                                                                                                                             ;DADDI PIZZARIA ITALIANA                                                                                                                               ;Pernambuco                                                                                                                                            ;PE-Petrolina                                                                                                                                          ;ATRAS DA BANCA                                                                                                                                        ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6                   ;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7078712                                                                                                                                               ;2                   ;6                   ;Vendedor de Comercio Varejista                                                                                                                        ;PRAIA MIX                                                                                                                                             ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;BELA VISTA                                                                                                                                            ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Não Exigida                                                                                                                                           ;0                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Recife/Pe                                                                                                                                        ;7081274                                                                                                                                               ;1                   ;9                   ;Padeiro                                                                                                                                               ;MERCADINHO E PADARIA DOCE SABOR                                                                                                                       ;Pernambuco                                                                                                                                            ;PE-Olinda                                                                                                                                             ;JARDIM ATLANTICO                                                                                                                                      ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;Condução                                                                                                                                              ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Não Exigida                                                                                                                                           ;6                   ;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7082448                                                                                                                                               ;1                   ;5                   ;Vendedor de Comercio Varejista                                                                                                                        ;OTICA JULIANA                                                                                                                                         ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;NOVA SANTA CRUZ                                                                                                                                       ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Garanhuns/Pe                                                                                                                                     ;7081756                                                                                                                                               ;2                   ;12                  ;Promotor de Vendas                                                                                                                                    ;JODIBE                                                                                                                                                ;Pernambuco                                                                                                                                            ;PE-Garanhuns                                                                                                                                          ;SANTO ANTONIO                                                                                                                                         ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine  Nazare da Mata/Pe                                                                                                                               ;7081794                                                                                                                                               ;1                   ;3                   ;Cozinheiro Geral                                                                                                                                      ;SABOR CASEIRO                                                                                                                                         ;Pernambuco                                                                                                                                            ;PE-Carpina                                                                                                                                            ;SANTA CRUZ                                                                                                                                            ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6                   ;Aceita deficiente                                                                                                                                     ;Auditiva                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Recife/Pe                                                                                                                                        ;7082412                                                                                                                                               ;1                   ;4                   ;Empregado  Domestico  Nos Servicos Gerais                                                                                                             ;POUSADA SOLAR DO LAZER                                                                                                                                ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;SANTO AMARO                                                                                                                                           ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;Outros                                                                                                                                                ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6                   ;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Bezerros/Pe                                                                                                                                      ;7080474                                                                                                                                               ;2                   ;10                  ;Operador de Maquinas Fixas Em Geral                                                                                                                   ;                                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Bezerros                                                                                                                                           ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;0                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Bezerros/Pe                                                                                                                                      ;7080528                                                                                                                                               ;2                   ;8                   ;Faxineiro                                                                                                                                             ;                                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Bezerros                                                                                                                                           ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0,00                ;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;0                   ;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0                   ;0                   
Sine Sao Lourenco da Mata/Pe                                                                                                                          ;7080487                                                                                                                                               ;1                   ;3                   ;Caldeireiro (Chapas de Ferro e Aco)                                                                                                                   ;PRESENT CALDEIRARIA E SERVICOS                                                                                                                        ;Pernambuco                                                                                                                                            ;PE-São Lourenço da Mata                                                                                                                               ;TIUMA                                                                                                                                                 ;Permanente                                                                                                                                            ;1.980,60            ;Mês                                                                                                                                                   ;Condução, Ticket Alimentação                                                                                                                          ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6                   ;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0                   ;0                   
